case_id,ttb_id,is_import,labeled_by,expected_verdict,actual_verdict,expected_action,actual_action,brand_name_expected,brand_name_actual,brand_name_reason,brand_name_observed,class_type_expected,class_type_actual,class_type_reason,class_type_observed,alcohol_content_expected,alcohol_content_actual,alcohol_content_reason,alcohol_content_observed,net_contents_expected,net_contents_actual,net_contents_reason,net_contents_observed,producer_name_address_expected,producer_name_address_actual,producer_name_address_reason,producer_name_address_observed,country_of_origin_expected,country_of_origin_actual,country_of_origin_reason,country_of_origin_observed,government_warning_expected,government_warning_actual,government_warning_reason,government_warning_observed
ttb_18289001000377,18289001000377,True,,match,needs_review,accept,request_better_image,match,mismatch,wrong_value,CACHACA,match,needs_review,unreadable,,match,match,normalized_match,Alc.40%,match,match,normalized_match,(80%PROOF) CONT.750m1,match,mismatch,wrong_value,(80%PROOF) CONT.750m1 Destilled from Sugar Cane,match,match,exact_match,BRAZIL,match,needs_review,unreadable,
ttb_18227001000572,18227001000572,True,,match,needs_review,accept,request_better_image,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,,match,needs_review,unreadable,
ttb_18113001000679,18113001000679,True,,match,needs_review,accept,request_better_image,match,match,normalized_match,IMI,match,mismatch,wrong_value,90013,match,needs_review,unreadable,,match,needs_review,unreadable,,match,mismatch,wrong_value,FRASCO BY,match,mismatch,missing_required,,match,needs_review,unreadable,
ttb_18011001000033,18011001000033,True,ivanma,match,mismatch,accept,manual_review,match,match,normalized_match,Intipalka Pisco Mosto Verde es el fruto de nuestra pasion y,match,mismatch,wrong_value,"desertico y la tierra franca; obtenemos, de una minuciosa seleccion. de uvas, el mosto yema que destilado gota a gota, da como resultado la sedosidad y suavidad que anhelamos. Intipalka Pisco Mosto Verde es el fruto de nuestra pasion y compromiso por el Pisco, porque lo extraordinario solo le sucede a. quienes lo persiguen. Excelencia mas alla de calidad. Puro o en coctel, tu momento perfecto. se inicia ahora. Our Mosto Verde pisco is the highest quality of Pisco due to carefully. hand selected grapes and a unique fermentation process. INTIPALKA These grapes come from our prestigious vineyards located at the. foot of the Andes mountains in Ica, Peru. In addition to a perfect. geographic location for the cultivation of these special VALLE DEL SOL grape varietals. Intipalka Pisco achieves its exceptionally smooth and silky complexion from the efforts of our committed and passionate team. The extraordinary is only achieved by those who pursue it.",match,match,normalized_match,42% Alc. Vol.,match,match,normalized_match,750 ml,match,mismatch,wrong_value,"Enjoy neat or in a cocktail. Variedad / Variety: Uva Italia / Italia Grape. Cosechado/ Harvested: Vinas Queirolo, San Jose de los Molinos, ICA, PERU. ITALIA GRAPE VINAS QUEIROLO MOSTO VERDE Elaborado por / Produced by: Santiago Queirolo S.A.C RUC 20100097746 Mza.J Lote 129 FundoCasa Blanca, Lima, Lima, Pachacamac. Tel. (511) 4631008 RSA P6656114N-NASNQE www.santiagoqueirolo.com Registered in the U.S.Patent and Trademark Office VALLE DE ICA, PERU Importado por / Imported by: SANTA MARIA IMPORTS LLC MIAMI, FL 33138 - USA DENOMINACION Producto peruano/Product of Peru DE ORIGEN PISCO",match,mismatch,missing_required,,match,mismatch,warning_text_mismatch,"N 00000129 (1) According to the Surgeon General, women should not drink alcoholic beverages 750 ml during pregnancy because of 42% Alc. Vol. the risk of birth defects. (2) 758218000789 Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
ttb_18204001000896,18204001000896,False,,match,needs_review,accept,request_better_image,match,match,normalized_match,BURNSIDE,match,mismatch,wrong_value,QUERCUS GARRYANA BATCH-FINISHED BURNSIDE OREGONOAKED RYE BLENDEDRYE,match,match,normalized_match,46%,match,match,normalized_match,750ML,match,mismatch,wrong_value,750ML WHISKEYFINISHED ALC/VOL 92PROOF WITH OREGONOAK,not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18323001000498,18323001000498,False,,match,needs_review,accept,request_better_image,match,needs_review,unreadable,,match,mismatch,wrong_value,BULLET SACRED PROOF T R D STAVE MRK Small Batch ARIZONA: BOORBONWAISKEY 90,match,match,normalized_match,45%,match,match,normalized_match,750ML,match,mismatch,wrong_value,PROOF SANTAN DISTILLINGE CRAFT ALC./YOL. 750ML BATCH NO. DATE: BARRELS:,not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18169001000786,18169001000786,False,,match,needs_review,accept,request_better_image,match,match,normalized_match,STALLONE,match,mismatch,wrong_value,EST USA BOURBON WHISKEY . USA,match,match,normalized_match,750 ml : 86 Proof : 43% Alc./Vol,match,match,normalized_match,750 ml : 86 Proof : 43% Alc./Vol,match,needs_review,unreadable,,not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18052001000241,18052001000241,False,ivanma,match,needs_review,accept,request_better_image,match,match,normalized_match,CHATTANOOGA WHISKEY,match,mismatch,wrong_value,"CHATTANOOGA WHISKEY TENNESSEE DOUBLE BARREL IS A RARE EXPRESSION OF OUR TENNESSEE HIGH IN CHATTANOOGA,TN- CHATTANOOGAWHISKEY.COM BATCH 010 MALT STYLE.INITIALLY AGED FOR GREATER THAN 2 YEARS, EACH BARREL WAS THEN TRANSFERRED AND FINISHED INTO A SECOND, NEW, CHARRED & TOASTED EXPERIMENTAL OAK CASK. THE RESULT IS A STRAIGHT BOURBON WHISKEY WITH AN INTENSE GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, SINGLE BATCH SERIES WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCYE FROM OUR CLASSIC HIGH MALT PROFILE. LOOK FORALL3 BARRELS INCLUDED THIS BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC TENNESSEE DOUBLE BARREL BATCH: EACH ONE SHOWCASING A UNIQUE TOAST PROFILE BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS. STRAIGHT BOURBON WHISKEY BATCH O10: TENNESSEE DOUBLE BARREL MADE WITH THE FINEST MALTED GRAINS WHISKEY TO THE PEOPLE #WHISKEYTOTHEPEOPLE CHAR # TOAST PROFILE BARREL #",match,match,normalized_match,51%ALC/VOL102 PROOF750ML,match,needs_review,unreadable,,match,mismatch,wrong_value,2 31 1 OF 3,not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
ttb_18247001001084,18247001001084,False,,match,mismatch,accept,manual_review,match,mismatch,wrong_value,THE TALE OF,match,mismatch,wrong_value,BESSE BOURBON BOURBONWHISKEY WITHVANILLABEANFLAVOR,match,match,normalized_match,50%ALCOL.100PROF,match,match,normalized_match,375ML,match,mismatch,wrong_value,"DISTILLEDANDBOTTLEDBY HALLOWEDOAKDISTILLERY OAK HARBOR,OH Handmade.American.Spints",not_applicable,not_applicable,not_applicable,,match,mismatch,warning_text_mismatch,"1)Accor ding to the Surgeon G en EST.2017 eral, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects.(2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems. 50%ALCOL.100PROF 375ML"
ttb_18279001000020,18279001000020,False,,match,needs_review,accept,request_better_image,match,match,normalized_match,TWELVE DISTILLERY 33,match,mismatch,wrong_value,DISTILLERY 33 BIG SIX STRAIGHTBOURBON DISTILLED FROM GRAIN WHISREY,match,match,normalized_match,45% ALC./VOL.90 PROOF,match,needs_review,unreadable,,match,needs_review,unreadable,,not_applicable,not_applicable,not_applicable,,match,needs_review,unreadable,
